BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,CountryCode,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
325120,2019,Saudi Arabia,925957.0,USD,Census,325,WM,ROW,0.00452448907680691,0.019588388648632046,3.4816581883982563e-06,8.033276075682542e-05
325130,2019,Saudi Arabia,12114197.0,USD,Census,325,WM,ROW,0.005198829895544022,0.14146469632149308,4.555016397189026e-05,0.0010509849694554413
325180,2019,Saudi Arabia,11130569.0,USD,Census,325,WM,ROW,0.001053525655436431,0.01183792410122529,4.185165909473311e-05,0.0009656488763131953
325190,2019,Saudi Arabia,191412387.0,USD,Census,325,WM,ROW,0.00485702417177606,0.06675543881917154,0.0007197229510219221,0.01660626302383791
325211,2019,Saudi Arabia,59361134.0,USD,Census,325,WM,ROW,0.004179807114660114,0.07120010676165693,0.0002232017018756877,0.005149962445206262
3252A0,2019,Saudi Arabia,24136179.0,USD,Census,325,WM,ROW,0.004329810849518519,0.1863031145094076,9.075359358155513e-05,0.002093969691023356
325310,2019,Saudi Arabia,249818134.0,USD,Census,325,WM,ROW,0.03124322559827084,0.09916284030514602,0.0009393323360063942,0.021673339465373177
325320,2019,Saudi Arabia,0.0,USD,Census,325,WM,ROW,0.0,0.0,0.0,0.0
325411,2019,Saudi Arabia,89985.0,USD,Census,325,WM,ROW,7.787998801391283e-06,0.0011394976766011507,3.383494180431889e-07,7.806780959270176e-06
325412,2019,Saudi Arabia,0.0,USD,Census,325,WM,ROW,0.0,0.0,0.0,0.0
325413,2019,Saudi Arabia,15437.0,USD,Census,325,WM,ROW,2.925656823744683e-06,0.0004464869729898375,5.804411809004509e-08,1.3392596284742314e-06
325414,2019,Saudi Arabia,0.0,USD,Census,325,WM,ROW,0.0,0.0,0.0,0.0
325510,2019,Saudi Arabia,0.0,USD,Census,325,WM,ROW,0.0,0.0,0.0,0.0
325520,2019,Saudi Arabia,21565.0,USD,Census,325,WM,ROW,2.2708553236335815e-05,0.0016033897138144533,8.108579430017635e-08,1.870903277064637e-06
325610,2019,Saudi Arabia,212517.0,USD,Census,325,WM,ROW,5.519157059677526e-05,0.0019778218195448875,7.990776604354546e-07,1.843722474991632e-05
325620,2019,Saudi Arabia,3998681.0,USD,Census,325,WM,ROW,0.0004112520932685225,0.014146837040438193,1.5035299097520217e-05,0.0003469114484969209
325910,2019,Saudi Arabia,0.0,USD,Census,325,WM,ROW,0.0,0.0,0.0,0.0
3259A0,2019,Saudi Arabia,83598.0,USD,Census,325,WM,ROW,1.2904206824493833e-05,0.00015852569217575984,3.143338850872313e-07,7.25266738493158e-06
326110,2019,Saudi Arabia,18117367.0,USD,Census,326,WM,ROW,0.001701810987112836,0.020526145406890232,0.0002890550538451957,0.006189684999378903
326120,2019,Saudi Arabia,2952479.0,USD,Census,326,WM,ROW,0.001850439186109499,0.03403211296478039,4.7105574243862785e-05,0.0010086959643352826
326160,2019,Saudi Arabia,30642.0,USD,Census,326,WM,ROW,2.8446513320786337e-05,0.0012374783662393997,4.888803632406677e-07,1.0468647444795282e-05
326190,2019,Saudi Arabia,164849.0,USD,Census,326,WM,ROW,6.332325737473057e-06,0.00020818870303151174,2.6300972194981017e-06,5.631962870005409e-05
326210,2019,Saudi Arabia,1587.0,USD,Census,326,WM,ROW,9.996315040182988e-08,1.5260171926020174e-06,2.531992482419358e-08,5.421886135007543e-07
326220,2019,Saudi Arabia,283198.0,USD,Census,326,WM,ROW,7.553055523698583e-05,0.0054170707182153045,4.5183062825217225e-06,9.675282354517114e-05
326290,2019,Saudi Arabia,13634.0,USD,Census,326,WM,ROW,3.6838578922663865e-06,0.0002794178828264777,2.175247983951199e-07,4.657970735015302e-06
327100,2019,Saudi Arabia,20560.0,USD,Census,327,WM,ROW,2.7052244913379907e-06,6.128388961836722e-05,7.860344112186857e-07,1.1509409780230345e-05
327200,2019,Saudi Arabia,11602949.0,USD,Census,327,WM,ROW,0.0014575300762326602,0.049944295917298216,0.0004435951938528909,0.006495286707203983
327310,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.0,0.0,0.0
327320,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.008403361344537815,0.0,0.0
327330,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.0,0.0,0.0
327390,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.0,0.0,0.0
327400,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.0,0.0,0.0
327910,2019,Saudi Arabia,0.0,USD,Census,327,WM,ROW,0.0,0.0,0.0,0.0
327991,2019,Saudi Arabia,441174.0,USD,Census,327,WM,ROW,0.00011156621375722048,0.0005243250427488848,1.6866631582441264e-05,0.0002469675267696178
327992,2019,Saudi Arabia,1624299.0,USD,Census,327,WM,ROW,0.003419570240534925,0.027549792256154507,6.20989741297714e-05,0.0009092764006137339
327993,2019,Saudi Arabia,317301.0,USD,Census,327,WM,ROW,0.00038489435259506165,0.007897669622330548,1.2130812486094367e-05,0.0001776238926399255
327999,2019,Saudi Arabia,6590.0,USD,Census,327,WM,ROW,7.815045837900243e-06,0.00012809614107167758,2.519439090433433e-07,3.6890569285855043e-06
331110,2019,Saudi Arabia,114131076.0,USD,Census,331,WM,ROW,0.003848079010762197,0.019356099077717234,0.0012832470099493508,0.005603823219379928
331200,2019,Saudi Arabia,10996121.0,USD,Census,331,WM,ROW,0.004917152139023322,0.07481675471894887,0.00012363626006900403,0.0005399083259577018
331313,2019,Saudi Arabia,48237114.0,USD,Census,331,WM,ROW,0.00496338900477838,0.015255002209726297,0.0005423600169079801,0.0023684369668877615
331314,2019,Saudi Arabia,0.0,USD,Census,331,WM,ROW,0.0,0.0,0.0,0.0
33131B,2019,Saudi Arabia,254146580.0,USD,Census,331,WM,ROW,0.03720526638238505,0.1637427433042739,0.00285752881952899,0.0124785689931636
331410,2019,Saudi Arabia,981233.0,USD,Census,331,WM,ROW,3.265109894414553e-05,0.00010893496722628486,1.1032615808455456e-05,4.81784318674243e-05
331420,2019,Saudi Arabia,0.0,USD,Census,331,WM,ROW,0.0,0.0,0.0,0.0
331490,2019,Saudi Arabia,3173.0,USD,Census,331,WM,ROW,6.106468278621845e-07,1.0154025949203738e-05,3.567602186252314e-08,1.5579394936303337e-07
331510,2019,Saudi Arabia,7058.0,USD,Census,331,WM,ROW,4.714473921951291e-06,8.871568534670657e-05,7.935750466614822e-08,3.4654702004547416e-07
331520,2019,Saudi Arabia,0.0,USD,Census,331,WM,ROW,0.0,0.0,0.0,0.0
332119,2019,Saudi Arabia,0.0,USD,Census,332,WM,ROW,0.0,0.0,0.0,0.0
33211A,2019,Saudi Arabia,0.0,USD,Census,332,WM,ROW,0.0,0.0,0.0,0.0
332200,2019,Saudi Arabia,2400.0,USD,Census,332,WM,ROW,2.511503410818157e-07,1.7386562351928972e-05,3.0516812801539933e-08,1.417715997432176e-06
